"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
56.600,49.0,-0.492,0.437,49.0
56.700,49.0,-0.492,0.437,49.0
56.800,49.0,-0.492,0.437,49.0
56.900,49.0,-0.492,0.437,49.0
57.000,49.0,-0.492,0.437,49.0
57.100,49.0,-0.492,0.437,49.0
57.200,49.0,-0.492,0.437,49.0
57.300,49.0,-0.492,0.437,49.0
57.400,49.0,-0.492,0.437,49.0
57.500,49.0,-0.492,0.437,49.0
57.600,49.0,-0.492,0.437,49.0
57.700,49.0,-0.492,0.437,49.0
57.800,49.0,-0.492,0.437,49.0
57.900,49.0,-0.492,0.437,49.0
58.000,49.0,-0.492,0.437,49.0
58.100,49.0,-0.492,0.437,49.0
58.200,49.0,0.0600,0.972,49.0
58.300,23.5,14.3,2.65,27.6
58.400,1.85,2.99,0.191,3.51
58.500,-0.0915,0.581,0.0960,0.595
58.600,-0.0975,0.117,0.0645,0.165
58.700,0.00750,0.0705,0.0675,0.0979
58.800,0.0450,0.0750,0.0720,0.113
58.900,0.0585,0.0825,0.0735,0.125
59.000,0.0585,0.0870,0.0765,0.130
59.100,0.0615,0.0870,0.0810,0.134
59.200,0.0600,0.0870,0.0810,0.133
59.300,0.0585,0.0915,0.0810,0.135
59.400,0.0660,0.0975,0.0810,0.143
59.500,0.0600,0.0990,0.0840,0.143
59.600,0.0615,0.101,0.0795,0.142
59.700,0.0630,0.101,0.0795,0.143
59.800,0.0540,0.0960,0.0795,0.136
59.900,0.0465,0.0855,0.0750,0.123
